,MagpieData avg_dev Number,MagpieData avg_dev MendeleevNumber,MagpieData avg_dev AtomicWeight,MagpieData avg_dev MeltingT,MagpieData avg_dev Column,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData avg_dev Electronegativity,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData avg_dev NdValence,MagpieData avg_dev NValence,MagpieData avg_dev NsUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData avg_dev SpaceGroupNumber,avg ionic char,Miedema_deltaH_inter,spacegroup_num,crystal_system_int,is_centrosymmetric,sine coulomb matrix eig 0,sine coulomb matrix eig 6,sine coulomb matrix eig 7,sine coulomb matrix eig 8,sine coulomb matrix eig 9,sine coulomb matrix eig 10,sine coulomb matrix eig 11,sine coulomb matrix eig 12,sine coulomb matrix eig 13,sine coulomb matrix eig 14,sine coulomb matrix eig 15,structural complexity per atom,structural complexity per cell
39,0.64,1.92,1.51552,245.76,0.64,6.72,175,0.2656,0.32,2,0.96,0.64,0.32,0.96,8,0.64,8,2.4016,23.195,11.2,0.02531364,-0.044141709,69,5,TRUE,4119.9913,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
40,0.64,1.92,1.51552,245.76,0.64,6.72,175,0.2656,0.32,2,0.96,0.64,0.32,0.96,8,0.64,8,2.4016,23.195,11.2,0.02531364,-0.044141709,12,6,TRUE,4140.52136,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
41,0.64,1.92,1.51552,245.76,0.64,6.72,175,0.2656,0.32,2,0.96,0.64,0.32,0.96,8,0.64,8,2.4016,23.195,11.2,0.02531364,-0.044141709,139,4,TRUE,4137.837116,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
42,0.64,1.92,1.51552,245.76,0.64,6.72,175,0.2656,0.32,2,0.96,0.64,0.32,0.96,8,0.64,8,2.4016,23.195,11.2,0.02531364,-0.044141709,166,3,TRUE,4227.851968,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
43,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,67,5,TRUE,4199.466853,0,0,0,0,0,0,0,0,0,0,1,4
44,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,11,6,TRUE,4257.109336,0,0,0,0,0,0,0,0,0,0,1,4
45,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,129,4,TRUE,4228.661391,0,0,0,0,0,0,0,0,0,0,1,4
46,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,74,5,TRUE,4182.699061,0,0,0,0,0,0,0,0,0,0,1,4
47,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,227,1,TRUE,4434.367672,0,0,0,0,0,0,0,0,0,0,1,4
48,0.64,1.92,1.51552,245.76,0.64,6.72,154,0.2656,0.32,1,0.96,0.64,0.32,0.96,5,0.64,6,2.4016,15.69,11.2,0.02531364,-0.052531001,87,4,TRUE,4557.830596,0,0,0,0,0,0,0,0,0,0,0.721928095,3.609640474
