,Cluster 1,Cluster 2,Cluster 3,Cluster 7,Cluster 10,Cluster 24,Cluster 43,Cluster 44,Cluster 47,Cluster 49,Cluster 51,Cluster 53,Cluster 54,Cluster 55,Cluster 56,Cluster 61,Cluster 64,Cluster 65,Cluster 66,Cluster 69,Cluster 72,Cluster 84,mean wt CN_1,mean bent 150 degrees CN_2,std_dev square pyramidal CN_5,mean wt CN_9,mean wt CN_11,std_dev wt CN_11,std_dev q2 CN_11,mean wt CN_13,std_dev wt CN_13,mean ordering parameter shell 2,xrd_36,xrd_97,xrd_112,xrd_117,xrd_123,jml_adf1_48,jml_adf1_82
60,0.8520877,0.473957081,1.22139758,1.940718818,0.912684895,1.556825127,1.143397104,1.303479164,2.307049015,1.941717235,1.74916816,1.493198483,1.476128129,1.754104774,0.969597072,2.321317346,1.746966664,2.059531206,1.821477794,1.420291621,2.118919108,2.041579112,-0.332539431,0.451187676,-0.525270416,0.800975828,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.671481584,-1.510265018,2.021693231,-0.276876813,-0.640698929,-0.177535183,-0.09912279,-0.104541675
61,0.8520877,1.126180056,0.829633109,1.477885558,1.816052732,1.556825127,1.143397104,1.303479164,1.963825408,1.941717235,1.74916816,1.805203188,1.476128129,1.754104774,1.202125661,1.978796788,1.746966664,2.059531206,1.821477794,1.420291621,2.118919108,2.041579112,-0.332539431,-0.460698624,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.004014837,-1.510265018,2.021693231,-0.276876813,-0.640698929,-0.177535183,-0.09912279,-0.104541675
62,2.004459467,1.126180056,0.437868637,0.089385793,-0.442366844,-0.920661175,0.413026173,1.043770532,0.590930992,1.613680074,1.13664477,0.869189086,1.476128129,0.783145334,0.039482724,0.608714568,1.136714823,1.34808826,0.548634262,-0.242554579,1.089808469,1.355680648,-0.332539431,-0.460692251,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,3.247303425,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
63,0.8520877,-0.178265882,-0.345660291,-0.373447468,-0.442366844,1.061327863,0.047840703,0.004935964,-0.095516209,0.629568555,0.217859668,-0.066825027,0.705971738,-0.187814106,-0.425574446,0.26619401,0.221337044,0.6366453,-0.087787498,-0.242554579,0.746771586,0.669782172,2.625143009,-0.460704997,-0.525270416,0.800975828,0.615917692,1.095855141,-0.433558858,-0.427986448,-0.476452662,-0.913546228,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
64,0.27590183,-0.830488856,-0.737424762,0.089385793,0.235159033,-0.177415279,-0.317344758,-0.254772669,-0.095516209,0.137512807,0.524121369,-0.066825027,0.705971738,0.297665608,0.039482724,0.26619401,0.526462971,0.280923821,0.548634262,0.311727484,0.575253144,0.326832933,-0.332539431,-0.004758684,2.292102759,-0.547949578,0.615917692,1.095855141,2.487139027,2.175467591,2.169533956,-0.371396252,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
65,0.8520877,1.126180056,-0.345660291,-0.836280728,0.912684895,0.070333353,-0.317344758,0.78406189,-0.095516209,1.285642901,-0.088402022,-0.378829721,-0.064184653,1.106798485,-0.425574446,-0.076326536,-0.083788871,0.6366453,-0.087787498,0.866009557,0.746771586,-0.016116292,-0.332539431,-0.460704997,-0.525270416,3.542476791,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.3604123,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
66,-0.300284054,0.473957081,-1.129189233,0.552219053,-0.442366844,0.070333353,-0.317344758,0.264644606,-0.095516209,0.629568555,-0.088402022,-0.378829721,-0.064184653,0.459492184,-0.425574446,0.26619401,-0.083788871,0.280923821,-0.087787498,0.588868521,0.403734702,0.326832933,-0.332539431,-0.460698624,-0.525270416,0.800975828,0.615917692,1.095855141,2.487139046,-0.427986448,-0.476452662,-0.455411928,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
67,-0.300284054,-0.178265882,-1.129189233,0.089385793,-0.442366844,0.565830617,-0.317344758,-0.254772669,-0.095516209,0.301531382,0.524121369,0.245179677,-0.064184653,0.135839033,0.039482724,0.26619401,0.526462971,-0.074797646,0.548634262,-0.242554579,0.403734702,0.669782172,-0.332539431,-0.460698624,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.682295454,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
68,-0.876469938,-0.178265882,-0.345660291,-0.373447468,0.235159033,-0.425163911,0.047840703,0.004935964,0.590930992,0.301531382,0.064728829,-0.066825027,-0.064184653,-0.187814106,-0.425574446,-0.076326536,0.068774092,-0.074797646,0.389528819,-0.242554579,0.232216273,0.498307553,-0.332539431,-0.460704997,-0.525270416,0.800975828,0.615917692,1.095855141,-0.433558831,-0.427986448,-0.476452662,-0.960857004,-1.030667587,0.608822601,-0.699096042,-0.582493629,1.474864728,-0.09912279,-0.104541675
69,0.27590183,-1.482711819,0.437868637,1.015052297,0.235159033,-0.425163911,0.413026173,-0.254772669,-0.095516209,-0.026505779,0.370990518,-0.378829721,-0.064184653,-0.187814106,-0.425574446,0.951235126,0.373900008,0.99236678,0.389528819,-0.242554579,0.575253144,0.498307553,-0.332539431,2.232915962,1.822540492,-0.547949578,1.969997293,1.095855141,-0.433558839,-0.427986448,-0.476452662,-0.339058636,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
70,-0.300284054,-1.482711819,1.22139758,0.552219053,-0.442366844,0.070333353,1.143397104,-0.254772669,0.590930992,-0.026505779,-0.088402022,-0.378829721,-0.064184653,0.459492184,-0.425574446,1.293755684,-0.083788871,0.99236678,-0.087787498,0.311727484,0.403734702,-0.016116292,-0.332539431,-0.004758732,-0.525270416,0.800975828,-0.738161908,-0.809233089,-0.433558928,2.175467591,2.169533956,-0.77982848,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
71,-1.452655807,1.126180056,0.437868637,0.089385793,0.912684895,0.565830617,0.413026173,1.043770532,-0.095516209,-0.026505779,-0.088402022,0.869189086,-0.064184653,-0.187814106,0.039482724,0.951235126,-0.083788871,-0.074797646,0.548634262,-0.242554579,0.060697831,-0.016116292,-0.332539431,-0.460698624,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.124132157,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
72,0.8520877,-0.178265882,-0.737424762,0.089385793,0.009317074,-0.425163911,-0.317344758,-0.254772669,0.590930992,0.629568555,1.13664477,0.557184381,1.476128129,1.106798485,1.202125661,0.26619401,1.136714823,0.6366453,1.185056034,0.311727484,0.403734702,0.669782172,-0.332539431,-0.460698624,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,1.387731387,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
